囊  # U56CA
囚  # U56DA
四  # U56DB
回  # U56DE
因  # U56E0
团  # U56E2
囤  # U56E4
园  # U56ED
困  # U56F0
囱  # U56F1
围  # U56F4
固  # U56FA
国  # U56FD
图  # U56FE
圃  # U5703
圆  # U5706
圈  # U5708
土  # U571F
圣  # U5723
在  # U5728
圭  # U572D
地  # U5730
场  # U573A
圾  # U573E
址  # U5740
均  # U5747
坊  # U574A
坍  # U574D
坎  # U574E
坏  # U574F
坐  # U5750
坑  # U5751
块  # U5757
坚  # U575A
坛  # U575B
坝  # U575D
坞  # U575E
坟  # U575F
坠  # U5760
坡  # U5761
坤  # U5764
坦  # U5766
坪  # U576A
坯  # U576F
坷  # U5777
垂  # U5782
垃  # U5783
垄  # U5784
型  # U578B
垒  # U5792
垛  # U579B
垢  # U57A2
垣  # U57A3
垦  # U57A6
垫  # U57AB
垮  # U57AE
埂  # U57C2
埃  # U57C3
埋  # U57CB
城  # U57CE
埔  # U57D4
域  # U57DF
埠  # U57E0
培  # U57F9
基  # U57FA
堂  # U5802
堆  # U5806
堑  # U5811
堕  # U5815
堡  # U5821
堤  # U5824
堪  # U582A
堰  # U5830
堵  # U5835
塌  # U584C
塑  # U5851
塔  # U5854
塘  # U5858
塞  # U585E
填  # U586B
境  # U5883
墅  # U5885
墒  # U5892
墓  # U5893
墙  # U5899
增  # U589E
墟  # U589F
墨  # U58A8
墩  # U58A9
壁  # U58C1
壕  # U58D5
壤  # U58E4
士  # U58EB
壬  # U58EC
壮  # U58EE
声  # U58F0
壳  # U58F3
壶  # U58F6
壹  # U58F9
处  # U5904
备  # U5907
复  # U590D
夏  # U590F
夕  # U5915
外  # U5916
多  # U591A
夜  # U591C
够  # U591F
大  # U5927
天  # U5929
太  # U592A
夫  # U592B
央  # U592E
夯  # U592F
失  # U5931
头  # U5934
夷  # U5937
夸  # U5938
夹  # U5939
夺  # U593A
奄  # U5944
奇  # U5947
奈  # U5948
奉  # U5949
奋  # U594B
奎  # U594E
奏  # U594F
契  # U5951
奔  # U5954
奖  # U5956
套  # U5957
奠  # U5960
奢  # U5962
奥  # U5965
女  # U5973
奴  # U5974
奶  # U5976
奸  # U5978
她  # U5979
好  # U597D
如  # U5982
妄  # U5984
妆  # U5986
妇  # U5987
妈  # U5988
妊  # U598A
妒  # U5992
妓  # U5993
妖  # U5996
妙  # U5999
妥  # U59A5
妨  # U59A8
妮  # U59AE
妹  # U59B9
妻  # U59BB
姆  # U59C6
始  # U59CB
姐  # U59D0
姑  # U59D1
姓  # U59D3
委  # U59D4
姚  # U59DA
姜  # U59DC
姥  # U59E5
姨  # U59E8
姬  # U59EC
姻  # U59FB
姿  # U59FF
威  # U5A01
娃  # U5A03
娄  # U5A04
娇  # U5A07
娘  # U5A18
娜  # U5A1C
娟  # U5A1F
娠  # U5A20
娥  # U5A25
娩  # U5A29
娱  # U5A31
娶  # U5A36
婆  # U5A46
婉  # U5A49
婚  # U5A5A
婪  # U5A6A
婴  # U5A74
婶  # U5A76
婿  # U5A7F
媒  # U5A92
媚  # U5A9A
媳  # U5AB3
嫁  # U5AC1
嫂  # U5AC2
嫉  # U5AC9
嫌  # U5ACC
嫡  # U5AE1
嫩  # U5AE9
子  # U5B50
孔  # U5B54
孕  # U5B55
字  # U5B57
存  # U5B58
孙  # U5B59
孜  # U5B5C
孝  # U5B5D
孟  # U5B5F
季  # U5B63
孤  # U5B64
学  # U5B66
孩  # U5B69
孪  # U5B6A
孰  # U5B70
孵  # U5B75
孺  # U5B7A
孽  # U5B7D
宁  # U5B81
它  # U5B83
宅  # U5B85
宇  # U5B87
守  # U5B88
安  # U5B89
宋  # U5B8B
完  # U5B8C
宏  # U5B8F
宗  # U5B97
官  # U5B98
宙  # U5B99
定  # U5B9A
宛  # U5B9B
宜  # U5B9C
宝  # U5B9D
实  # U5B9E
宠  # U5BA0
审  # U5BA1
客  # U5BA2
宣  # U5BA3
室  # U5BA4
宦  # U5BA6
宪  # U5BAA
宫  # U5BAB
宰  # U5BB0
害  # U5BB3
宴  # U5BB4
宵  # U5BB5
家  # U5BB6
容  # U5BB9
宽  # U5BBD
宾  # U5BBE
宿  # U5BBF
寂  # U5BC2
寄  # U5BC4
寅  # U5BC5
密  # U5BC6
寇  # U5BC7
富  # U5BCC
寐  # U5BD0
寒  # U5BD2
寓  # U5BD3
寝  # U5BDD
寞  # U5BDE
察  # U5BDF
寡  # U5BE1
寥  # U5BE5
寨  # U5BE8
寸  # U5BF8
对  # U5BF9
寺  # U5BFA
寻  # U5BFB
导  # U5BFC
寿  # U5BFF
封  # U5C01
射  # U5C04
将  # U5C06
尉  # U5C09
尊  # U5C0A
小  # U5C0F
少  # U5C11
尔  # U5C14
尖  # U5C16
尘  # U5C18
尚  # U5C1A
尝  # U5C1D
尤  # U5C24
尧  # U5C27
就  # U5C31
尸  # U5C38
尹  # U5C39
尺  # U5C3A
尼  # U5C3C
尽  # U5C3D
尾  # U5C3E
尿  # U5C3F
局  # U5C40
屁  # U5C41
层  # U5C42
居  # U5C45
屈  # U5C48
屉  # U5C49
届  # U5C4A
屋  # U5C4B
屎  # U5C4E
屏  # U5C4F
屑  # U5C51
展  # U5C55
属  # U5C5E
屠  # U5C60
屡  # U5C61
履  # U5C65
屯  # U5C6F
山  # U5C71
屹  # U5C79
屿  # U5C7F
岁  # U5C81
岂  # U5C82
岔  # U5C94
岗  # U5C97
岛  # U5C9B
岩  # U5CA9
岭  # U5CAD
岳  # U5CB3
岸  # U5CB8
岿  # U5CBF
峙  # U5CD9
峡  # U5CE1
峦  # U5CE6
峨  # U5CE8
峪  # U5CEA
峭  # U5CED
峰  # U5CF0
峻  # U5CFB
崇  # U5D07
崎  # U5D0E
崔  # U5D14
崖  # U5D16
崩  # U5D29
崭  # U5D2D
嵌  # U5D4C
巍  # U5DCD
川  # U5DDD
州  # U5DDE
巡  # U5DE1
巢  # U5DE2
工  # U5DE5
左  # U5DE6
巧  # U5DE7
巨  # U5DE8
巩  # U5DE9
巫  # U5DEB
差  # U5DEE
己  # U5DF1
已  # U5DF2
巳  # U5DF3
巴  # U5DF4
巷  # U5DF7
巾  # U5DFE
币  # U5E01
市  # U5E02
布  # U5E03
帅  # U5E05
帆  # U5E06
师  # U5E08
希  # U5E0C
帐  # U5E10
帕  # U5E15
帖  # U5E16
帘  # U5E18
帚  # U5E1A
帛  # U5E1B
帜  # U5E1C
帝  # U5E1D
带  # U5E26
帧  # U5E27
席  # U5E2D
帮  # U5E2E
常  # U5E38
帽  # U5E3D
幂  # U5E42
幅  # U5E45
幌  # U5E4C
幕  # U5E55
幢  # U5E62
干  # U5E72
平  # U5E73
年  # U5E74
并  # U5E76
幸  # U5E78
幻  # U5E7B
幼  # U5E7C
幽  # U5E7D
广  # U5E7F
庄  # U5E84
庆  # U5E86
庇  # U5E87
床  # U5E8A
序  # U5E8F
庐  # U5E90
库  # U5E93
应  # U5E94
底  # U5E95
店  # U5E97
庙  # U5E99
庚  # U5E9A
府  # U5E9C
庞  # U5E9E
废  # U5E9F
度  # U5EA6
座  # U5EA7
庭  # U5EAD
庶  # U5EB6
康  # U5EB7
庸  # U5EB8
廉  # U5EC9
廊  # U5ECA
廓  # U5ED3
廖  # U5ED6
延  # U5EF6
廷  # U5EF7
建  # U5EFA
开  # U5F00
异  # U5F02
弃  # U5F03
弄  # U5F04
弊  # U5F0A
式  # U5F0F
弓  # U5F13
引  # U5F15
弗  # U5F17
弘  # U5F18
弛  # U5F1B
弟  # U5F1F
张  # U5F20
弥  # U5F25
弦  # U5F26
弧  # U5F27
弯  # U5F2F
弱  # U5F31
弹  # U5F39
强  # U5F3A
归  # U5F52
当  # U5F53
录  # U5F55
彝  # U5F5D
形  # U5F62
彤  # U5F64
彦  # U5F66
彩  # U5F69
彪  # U5F6A
彬  # U5F6C
彭  # U5F6D
彰  # U5F70
影  # U5F71
役  # U5F79
彻  # U5F7B
彼  # U5F7C
往  # U5F80
征  # U5F81
径  # U5F84
待  # U5F85
很  # U5F88
徊  # U5F8A
律  # U5F8B
徐  # U5F90
徒  # U5F92
得  # U5F97
徘  # U5F98
御  # U5FA1
循  # U5FAA
微  # U5FAE
德  # U5FB7
徽  # U5FBD
心  # U5FC3
必  # U5FC5
忆  # U5FC6
忌  # U5FCC
忍  # U5FCD
志  # U5FD7
忘  # U5FD8
忙  # U5FD9
忠  # U5FE0
忧  # U5FE7
快  # U5FEB
忱  # U5FF1
念  # U5FF5
忻  # U5FFB
忽  # U5FFD
忿  # U5FFF
怀  # U6000
态  # U6001
怂  # U6002
怎  # U600E
怒  # U6012
怔  # U6014
怕  # U6015
怖  # U6016
怜  # U601C
思  # U601D
怠  # U6020
急  # U6025
性  # U6027
怨  # U6028
怪  # U602A
怯  # U602F
总  # U603B
恃  # U6043
恋  # U604B
恍  # U604D
恐  # U6050
恒  # U6052
恕  # U6055
恢  # U6062
恤  # U6064
恨  # U6068
恩  # U6069
恫  # U606B
恬  # U606C
恭  # U606D
息  # U606F
恰  # U6070
恳  # U6073
恶  # U6076
恼  # U607C
恿  # U607F
悄  # U6084
悉  # U6089
悍  # U608D
悔  # U6094
悟  # U609F
悠  # U60A0
患  # U60A3
悦  # U60A6
您  # U60A8
悬  # U60AC
悯  # U60AF
悲  # U60B2
悸  # U60B8
悼  # U60BC
情  # U60C5
惊  # U60CA
惋  # U60CB
惑  # U60D1
惕  # U60D5
惜  # U60DC
惟  # U60DF
惠  # U60E0
惦  # U60E6
惧  # U60E7
惨  # U60E8
惩  # U60E9
惫  # U60EB
惭  # U60ED
惮  # U60EE
惯  # U60EF
惰  # U60F0
想  # U60F3
惶  # U60F6
惹  # U60F9
惺  # U60FA
愁  # U6101
愈  # U6108
愉  # U6109
意  # U610F
愚  # U611A
感  # U611F
愤  # U6124
愧  # U6127
愿  # U613F
慈  # U6148
慌  # U614C
慎  # U614E
慑  # U6151
慕  # U6155
慢  # U6162
慧  # U6167
慨  # U6168
慰  # U6170
慷  # U6177
憋  # U618B
憎  # U618E
憨  # U61A8
憾  # U61BE
懂  # U61C2
懈  # U61C8
懊  # U61CA
懒  # U61D2
懦  # U61E6
戈  # U6208
戊  # U620A
戌  # U620C
戍  # U620D
戎  # U620E
戏  # U620F
成  # U6210
我  # U6211
戒  # U6212
或  # U6216
战  # U6218
戚  # U621A
截  # U622A
戮  # U622E
戳  # U6233
